epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.087,1.6571,1.80374,1.24488,0.76015,0.20088,0.46293,0.32991,1.58972,1.66672,1.14899,0.0673708,0.000329588,0.000329588
2,438.632,1.4515,1.16974,1.12822,0.91174,0.48854,0.70672,0.47555,1.48407,1.23294,1.13141,0.0343052,0.000597292,0.000597292
3,634.055,1.37148,1.04068,1.09573,0.82949,0.7021,0.77042,0.47396,1.45181,1.00686,1.13985,0.00117353,0.000798996,0.000798996
4,836.777,1.28972,0.92455,1.06259,0.90696,0.7177,0.82778,0.57201,1.28828,0.91968,1.05555,0.000703,0.000703,0.000703
5,1042.47,1.24603,0.87051,1.0413,0.86434,0.79132,0.85422,0.56698,1.30729,0.85332,1.03065,0.000604,0.000604,0.000604
6,1248.14,1.20163,0.82429,1.0205,0.87476,0.81082,0.87447,0.57855,1.28719,0.7909,1.01197,0.000505,0.000505,0.000505
7,1449.97,1.19878,0.79717,1.00527,0.85734,0.83374,0.87735,0.60727,1.21113,0.76161,1.00539,0.000406,0.000406,0.000406
8,1649.3,1.1323,0.74767,0.98797,0.87087,0.86153,0.90044,0.64208,1.14646,0.72859,0.97306,0.000307,0.000307,0.000307
9,1855.12,1.11647,0.72793,0.98648,0.90181,0.85275,0.90782,0.65039,1.12104,0.70585,0.96809,0.000208,0.000208,0.000208
10,2056.85,1.0882,0.69935,0.9719,0.88624,0.86984,0.91085,0.65229,1.11447,0.6959,0.95726,0.000109,0.000109,0.000109
